CntryOfRes,Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean,HDI,hdi_group
United States,45,Female,0,deg,full-time,15e4,NA,0,0,Small Town,Married,0,0,2,4,3,2,2,1,1,1,2,2,3,1,3,1,2,3,2,2,1,1,3,2,3,1,3,2,3,3,4,1,1,4,2,2,3,2,2,4,3,3,4,3,4,4,4,1,0,2.6,1.73,2.55,3.8,0.92,very high
United States,37.5,Female,0,phd,student,25e3,NA,2,0,Small Town,Divorced,0,0,4,4,4,5,5,2,5,5,5,5,3,5,5,5,5,2,5,2,5,5,5,4,4,4,4,3,2,4,5,4,5,5,2,3,5,5,4,5,5,5,2,3,3,1,1,1,1,4.4,4.27,4.15,2,0.92,very high
United States,45,Female,0,ma,full-time,87500,NA,NA,0,Village,Single,0,0,5,5,5,5,5,1,1,4,3,2,5,3,4,1,2,3,2,2,3,3,3,1,1,1,3,1,5,4,5,1,2,4,1,1,3,3,1,4,5,4,1,1,1,1,1,1,0,5,2.6,2.65,1,0.92,very high
United States,28,Male,0,ma,student,25e3,NA,4,9,Large Town,Married,0,0,3,3,3,2,2,2,2,5,1,2,1,1,3,3,2,4,3,3,1,3,3,1,2,3,4,3,3,3,4,2,2,3,4,4,4,4,3,4,3,4,4,4,4,4,4,1,0,2.6,2.4,3.15,4,0.92,very high
United States,37.5,Female,0,phd,full-time,67500,NA,6,0,Small Town,Married,0,0,3,4,4,2,2,1,1,2,4,2,1,3,2,1,2,5,3,5,4,2,5,1,1,4,3,2,2,4,4,3,3,4,2,3,2,4,3,4,4,4,4,4,4,4,2,1,1,3,2.53,3.1,3.6,0.92,very high
United States,55,Male,1,deg,unemployed,1e4,NA,0,0,Small Town,Married,3,0,3,4,5,5,5,1,1,4,4,5,3,5,5,2,5,5,2,3,1,5,5,3,3,5,5,2,4,4,5,3,3,4,3,4,5,5,4,5,5,4,1,1,1,1,1,1,1,4.4,3.4,4.05,1,0.92,very high
United States,55,Female,1,high,unemployed,87500,NA,0,0,Small Town,Married,0,3,5,4,2,4,4,5,1,3,1,3,5,2,3,4,5,4,2,1,1,5,5,3,1,1,3,5,5,3,1,1,4,3,5,3,3,4,3,5,5,5,5,4,2,4,1,1,1,3.8,3,3.4,3.2,0.92,very high
United States,22,Male,0,dip,full-time,25e3,NA,0,8,Village,Single,0,0,3,3,2,2,2,3,3,4,3,3,2,3,3,3,3,3,3,4,3,2,3,1,3,4,1,1,4,4,4,3,4,3,3,2,3,4,4,4,4,3,2,3,3,2,1,1,1,2.4,3,3.1,2.2,0.92,very high
United States,28,Male,0,ma,full-time,15e3,NA,0,9,Large Town,Single,0,0,3,4,4,4,4,1,1,2,1,2,1,3,4,1,4,2,1,4,1,2,3,2,3,5,3,4,4,4,5,2,4,5,3,4,5,5,4,4,4,3,1,2,2,1,2,1,1,3.8,2,3.8,1.6,0.92,very high
United States,55,Male,1,ma,full-time,15e4,NA,4,0,NA,Married,0,1,3,3,2,2,2,2,2,5,3,2,1,2,3,2,2,4,2,3,1,3,3,1,2,3,2,2,2,3,3,1,3,3,4,2,2,3,3,2,3,2,3,3,3,3,3,0,0,2.4,2.47,2.45,3,0.92,very high
United States,20,Female,0,ltuni,student,NA,NA,2,0,NA,Single,0,0,3,4,1,2,2,1,2,2,4,3,1,5,2,2,5,1,1,1,5,2,5,4,1,5,2,5,4,1,5,1,3,5,1,2,4,2,2,3,5,2,3,3,4,4,2,1,1,2.4,2.47,3.1,3.2,0.92,very high
United States,25,Female,0,deg,student,1e4,NA,2,0,Large Town,Single,0,0,4,3,5,3,3,3,3,3,4,2,3,4,4,2,4,5,3,4,3,3,5,2,3,5,4,4,3,4,5,1,3,4,3,4,5,5,5,4,4,4,1,3,2,2,4,1,1,3.6,3.33,3.85,2.4,0.92,very high
United States,55,Female,1,high,retired,15e3,NA,6,0,Small Town,Divorced,1,0,3,3,4,3,2,2,1,4,2,1,1,4,3,2,4,2,2,3,3,2,3,3,3,1,3,2,3,3,5,2,3,4,2,2,3,5,4,2,4,3,3,2,2,3,4,1,1,3,2.4,3,2.8,0.92,very high
United States,28,Female,0,deg,full-time,35e3,NA,2,0,Village,Married,0,0,2,3,4,3,3,1,1,2,4,3,2,3,4,2,4,2,2,3,2,3,3,1,1,3,1,1,3,4,3,3,3,3,1,1,4,3,3,4,3,3,3,2,2,3,4,1,1,3,2.53,2.55,2.8,0.92,very high
United States,28,Male,0,ltuni,full-time,25e3,NA,7,6,Large Town,Divorced,0,0,5,4,4,4,4,4,3,4,4,5,5,5,5,4,5,4,3,4,3,4,2,5,3,5,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,4,1,2,1,1,1,1,1,4.2,4.13,4.1,1.2,0.92,very high
United States,28,Male,0,ltuni,student,1e4,NA,0,1,Small Town,Married,0,0,2,4,2,2,2,3,2,2,2,3,5,4,4,4,4,1,1,3,1,4,4,2,2,1,2,4,4,1,4,2,2,4,2,2,4,4,4,4,4,4,2,2,2,3,1,1,1,2.4,2.87,3,2,0.92,very high
United States,67.5,Male,0,deg,retired,35e3,NA,12,0,Village,Widowed,0,0,5,5,5,5,5,1,1,4,3,5,4,5,4,5,5,3,2,2,3,5,5,2,2,3,1,1,5,4,4,2,3,5,2,3,4,4,3,4,4,4,2,4,3,4,2,1,1,5,3.47,3.25,3,0.92,very high
United States,55,Female,0,phd,full-time,55e3,NA,3,7,Small Town,Divorced,0,0,4,3,5,2,2,1,1,1,1,2,3,1,2,2,3,3,1,3,1,2,3,1,2,1,1,1,2,4,4,1,1,3,2,2,3,2,1,3,4,4,4,4,4,3,3,1,0,3.2,1.8,2.25,3.6,0.92,very high
United States,45,Female,1,ma,full-time,87500,NA,5,0,Large Town,Married,0,0,5,5,5,5,5,5,5,2,5,4,3,5,2,1,5,5,5,5,5,5,5,3,4,3,5,5,5,5,4,5,5,5,4,5,5,5,4,3,3,2,3,3,2,4,2,0,1,5,4.13,4.25,2.8,0.92,very high
United States,37.5,Female,0,phd,full-time,45e3,NA,1,0,Small Town,NA,0,0,5,5,5,5,5,3,4,5,5,5,3,5,4,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,4,2,2,3,3,2,1,1,5,4.53,4.55,2.4,0.92,very high
United States,55,Male,1,deg,part-time,87500,NA,0,0,Village,Married,1,2,3,3,3,3,3,2,2,2,3,3,4,4,3,2,3,2,4,2,4,4,3,2,4,3,2,2,3,3,3,2,4,2,2,2,2,3,3,4,2,3,3,3,3,4,4,0,0,3,2.93,2.7,3.4,0.92,very high
United States,45,Male,0,deg,full-time,45e3,NA,2,0,Large Town,Divorced,0,0,4,4,4,4,4,1,1,3,2,3,2,2,2,1,3,4,3,4,2,3,4,5,2,4,4,3,4,4,3,2,1,4,2,5,3,5,5,5,4,5,4,3,3,4,2,1,0,4,2.4,3.7,3.2,0.92,very high
United States,55,Male,0,ltuni,full-time,55e3,NA,14,0,Village,Single,0,0,5,5,3,4,4,1,3,5,5,4,5,5,5,2,4,4,4,1,5,5,5,3,2,1,2,4,4,4,4,4,2,4,2,4,5,5,4,5,4,4,2,2,2,2,2,1,1,4.2,3.87,3.6,2,0.92,very high
United States,55,Male,0,phd,full-time,87500,NA,9,9,Village,Single,0,0,3,3,3,3,4,2,2,5,3,4,5,3,3,4,4,1,2,2,3,4,4,1,2,4,3,3,4,3,4,3,2,4,3,4,5,2,2,4,4,4,2,3,2,2,2,1,0,3.2,3.13,3.25,2.2,0.92,very high
United States,55,Male,1,ltuni,part-time,NA,NA,1,0,Large-City,Married,0,1,2,3,3,3,3,4,1,5,4,3,1,4,4,2,3,3,2,4,2,2,5,4,2,4,4,4,4,4,3,2,2,2,5,2,3,5,4,3,4,3,1,3,1,3,1,1,1,2.8,2.93,3.45,1.8,0.92,very high
United States,67.5,Female,0,ma,retired,NA,NA,6,0,Village,Single,0,0,3,3,2,2,2,1,1,5,1,3,3,1,3,1,2,4,1,5,1,2,3,1,1,3,1,3,4,1,4,1,3,3,1,3,3,3,1,4,3,4,1,1,1,2,3,1,0,2.4,2.27,2.5,1.6,0.92,very high
United States,55,Male,0,ma,part-time,87500,NA,0,0,Small Town,Divorced,0,0,3,3,2,2,2,2,1,2,3,2,2,3,3,1,2,3,2,3,2,4,3,1,1,2,2,2,2,2,5,1,1,4,3,3,4,2,3,4,2,3,2,3,3,2,2,1,1,2.4,2.33,2.5,2.4,0.92,very high
United States,55,Female,0,ma,part-time,67500,NA,6,7,Medium-Sized,Divorced,0,0,5,3,4,2,3,2,1,5,4,4,4,3,3,2,4,3,2,1,1,4,4,4,2,1,4,3,4,3,4,4,3,4,4,4,3,5,3,5,5,4,3,4,3,4,3,1,0,3.4,2.87,3.65,3.4,0.92,very high
United States,19,Female,0,ltuni,student,1e4,NA,NA,0,Village,Single,0,0,3,2,2,2,1,1,1,3,2,1,2,4,3,1,5,1,2,3,1,2,3,2,2,3,3,2,4,3,4,3,3,4,1,2,3,3,2,4,3,4,4,5,3,4,4,1,1,2,2.13,2.9,4,0.92,very high
United States,45,Female,0,phd,unemployed,15e4,NA,2,0,Rural/Country,Single,0,0,5,4,5,4,4,2,2,2,4,5,4,2,4,2,4,2,3,1,3,5,4,3,2,4,5,3,3,3,5,2,2,5,4,5,3,3,2,3,5,5,1,1,1,2,1,1,1,4.4,3,3.55,1.2,0.92,very high
United States,32.5,Male,0,ltuni,part-time,25e3,NA,0,9,Medium-Sized,Single,0,0,5,4,4,3,3,4,2,4,3,4,3,4,5,4,4,4,3,3,3,5,4,2,3,5,4,3,5,4,5,2,4,5,4,3,3,3,4,4,5,4,2,2,2,2,1,1,1,3.8,3.67,3.8,1.8,0.92,very high
United States,25,Female,1,ltuni,student,NA,NA,6,0,Medium-Sized,Married,0,1,2,4,3,1,1,2,1,2,1,3,1,2,2,1,2,1,1,2,1,4,3,1,4,1,5,1,1,1,2,1,3,1,5,1,2,4,3,2,2,3,3,3,3,1,1,1,0,2.2,1.73,2.3,2.2,0.92,very high
United States,45,Female,1,deg,full-time,35e3,NA,2,0,Small Town,Divorced,1,3,4,4,3,3,3,2,1,5,2,3,3,4,4,3,5,3,1,3,1,3,4,3,4,2,2,2,3,4,4,2,4,3,2,3,4,4,4,3,4,3,3,4,4,4,3,1,1,3.4,2.87,3.2,3.6,0.92,very high
United States,19,Male,0,ltuni,part-time,1e4,NA,1,1,Village,Single,0,0,3,3,3,1,1,1,1,1,3,2,4,4,1,2,3,3,1,3,2,1,5,1,2,4,2,3,4,4,5,1,3,5,2,4,4,2,3,3,5,4,1,1,1,1,4,1,1,2.2,2.13,3.3,1.6,0.92,very high
United States,67.5,Male,0,phd,retired,67500,NA,NA,0,Rural/Country,Married,0,0,4,4,4,3,4,1,2,5,5,4,4,5,5,3,5,3,4,5,4,4,4,4,4,5,3,4,4,5,5,5,3,5,4,4,5,4,4,5,4,4,4,4,4,5,1,1,1,3.8,3.93,4.25,3.6,0.92,very high
United States,45,Female,0,deg,part-time,35e3,NA,6,6,Small Town,Married,0,0,5,5,2,2,2,2,4,3,4,5,5,5,5,5,5,2,5,5,4,5,5,4,3,3,5,4,5,2,5,2,5,5,5,3,4,4,4,5,5,5,4,4,3,5,3,1,1,3.2,4.27,4.15,3.8,0.92,very high
United States,23,Male,0,ltuni,part-time,15e3,NA,1,4,Medium-Sized,Single,0,0,4,2,3,3,3,2,2,5,4,2,2,4,3,2,2,2,3,2,4,2,2,3,2,4,3,2,4,3,4,2,4,3,2,3,4,4,2,3,4,2,3,3,3,2,3,1,0,3,2.73,3,2.8,0.92,very high
United States,55,Female,0,deg,unemployed,87500,NA,0,0,Small Town,Single,0,0,2,2,2,2,1,1,1,1,3,2,3,1,2,1,5,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,3,3,3,3,3,3,0,0,1.8,2.07,1.9,3,0.92,very high
United States,55,Male,1,deg,full-time,15e4,NA,0,0,Medium-Sized,Divorced,1,0,2,3,3,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,0,0,2.4,2,2.05,4,0.92,very high
United States,28,Male,0,ma,full-time,45e3,NA,0,1,Village,Single,0,0,3,2,2,2,2,1,2,3,3,2,1,2,3,3,2,2,3,2,3,1,3,1,3,5,3,2,3,3,4,2,4,3,1,4,4,4,3,3,3,3,3,4,3,4,4,1,0,2.2,2.2,3.05,3.6,0.92,very high
United States,28,Female,0,deg,full-time,35e3,NA,0,10,Village,Single,0,0,2,2,2,1,1,1,1,3,2,1,3,2,2,1,3,3,3,5,2,3,3,2,2,4,2,2,4,1,4,2,2,4,2,2,2,2,2,3,4,3,2,2,3,2,2,1,0,1.6,2.33,2.6,2.2,0.92,very high
United States,37.5,Female,1,ma,full-time,35e3,NA,0,0,Large Town,Divorced,0,1,3,2,2,1,1,2,3,3,3,2,2,2,3,2,3,3,4,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,4,4,2,3,4,2,3,3,2,3,3,2,1,0,1.8,2.67,2.8,2.6,0.92,very high
United States,20,Male,0,ltuni,student,1e4,NA,0,0,Village,Single,0,0,3,4,4,3,3,2,1,1,3,2,1,2,4,4,3,4,4,4,2,1,2,1,3,4,4,4,3,4,4,1,4,3,2,3,4,3,3,4,5,4,2,2,2,2,2,1,0,3.4,2.53,3.25,2,0.92,very high
United States,67.5,Female,1,phd,part-time,45e3,NA,7,0,Small Town,Married,0,0,4,4,4,3,3,2,2,5,4,3,2,2,5,2,4,3,4,2,2,5,5,3,5,4,3,3,5,5,5,3,5,4,2,4,5,4,2,5,4,5,4,5,4,4,2,1,1,3.6,3.13,4.05,3.8,0.92,very high
United States,37.5,Female,1,deg,part-time,25e3,NA,0,6,Rural/Country,Married,1,2,5,5,5,4,4,4,2,5,5,4,5,5,5,3,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,3,5,4,5,5,5,5,5,4,5,1,1,1,1,1,1,1,4.6,4.27,4.65,1,0.92,very high
United States,67.5,Female,1,ma,part-time,45e3,NA,0,0,NA,Married,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,2,1,2,2,1,2,1,1,1,3,5,5,5,5,4,0,0,1,1.07,1.55,4.8,0.92,very high
United States,21,Male,0,ltuni,student,1e4,NA,0,0,Large Town,Single,0,0,4,4,3,3,3,2,3,5,5,3,3,5,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,5,1,1,3.4,3.67,3.65,4.2,0.92,very high
United States,55,Female,1,phd,full-time,25e3,NA,4,0,Small Town,Married,0,1,4,4,4,3,3,1,2,5,5,5,3,4,5,3,4,2,4,3,4,3,4,2,4,3,3,4,3,4,4,3,3,4,2,3,5,4,4,5,5,5,3,2,3,2,2,1,1,3.6,3.53,3.7,2.4,0.92,very high
United States,25,Male,0,ma,student,15e3,NA,6,0,Large Town,Married,0,0,3,3,2,2,2,1,3,3,3,3,2,3,5,2,4,4,4,2,4,4,3,3,3,4,3,3,4,3,4,2,4,4,3,4,4,5,3,5,3,4,5,5,4,5,4,1,1,2.4,3.13,3.55,4.6,0.92,very high
United States,45,Male,0,dip,full-time,55e3,NA,0,0,Village,Divorced,0,0,4,5,5,3,3,2,4,5,4,5,4,5,5,5,5,5,5,3,5,5,5,3,4,4,5,5,5,3,5,5,4,5,3,3,5,3,3,5,4,5,3,3,3,4,3,1,1,4,4.47,4.2,3.2,0.92,very high
United States,80,Female,1,phd,retired,67500,NA,0,0,Rural/Country,Divorced,1,0,3,2,1,2,2,1,1,3,3,3,3,2,3,2,3,2,1,3,1,4,5,1,1,1,3,1,4,3,3,1,4,4,1,2,4,5,2,3,4,3,3,3,4,5,3,1,1,2,2.33,2.75,3.6,0.92,very high
United States,37.5,Male,1,phd,full-time,15e4,NA,2,0,Small Town,Married,1,0,4,4,4,3,3,1,1,5,3,2,1,2,2,1,2,5,2,3,2,3,3,2,3,2,4,3,3,4,4,3,4,3,4,4,4,5,5,2,2,3,4,4,4,4,4,1,0,3.6,2.33,3.35,4,0.92,very high
United States,45,Male,1,deg,full-time,15e4,NA,10,0,Village,Married,0,2,4,5,3,2,2,1,4,5,5,5,1,5,3,3,5,4,5,4,5,5,4,3,4,4,3,3,3,3,5,5,5,4,2,4,4,4,4,4,2,2,3,3,3,3,3,1,1,3.2,4,3.6,3,0.92,very high
United States,22,Female,1,ltuni,part-time,1e4,NA,1,0,Rural/Country,Married,0,0,3,3,2,1,1,3,1,5,5,1,5,1,2,1,5,1,4,5,1,2,3,1,5,5,3,1,2,2,4,1,1,2,2,5,2,5,5,3,5,2,3,1,2,2,1,1,1,2,2.8,2.95,1.8,0.92,very high
United States,28,Male,0,deg,full-time,35e3,NA,0,6,Small Town,Single,0,0,2,2,3,2,2,2,3,4,4,3,5,5,3,3,3,4,4,3,4,4,3,2,2,3,3,2,2,3,4,2,3,4,3,3,3,4,4,4,5,3,3,3,3,2,3,1,1,2.2,3.6,3.1,2.8,0.92,very high
United States,45,Male,1,phd,full-time,25e4,NA,0,0,Village,Married,3,1,3,3,3,2,3,2,2,3,3,2,3,3,4,2,3,4,3,3,3,3,3,2,3,3,2,3,3,3,4,2,3,3,4,4,3,3,3,3,2,2,3,3,3,4,4,1,1,2.8,2.87,2.9,3.4,0.92,very high
United States,55,Female,1,phd,full-time,15e4,NA,0,0,Small Town,Separated,0,1,3,3,3,3,3,4,4,5,4,4,4,3,4,4,5,5,4,4,3,4,4,2,4,5,2,5,4,2,5,4,5,5,4,5,4,3,3,1,5,3,2,4,2,3,2,1,1,3,4.07,3.75,2.6,0.92,very high
United States,23,Female,0,deg,full-time,15e3,NA,0,5,Small Town,Single,0,0,5,5,5,3,3,2,1,5,3,3,1,4,4,2,4,3,2,4,2,2,4,2,4,1,5,5,5,5,5,3,4,5,3,4,4,4,4,5,5,5,2,2,2,3,1,1,1,4.2,2.8,4.1,2,0.92,very high
United States,24,Female,0,phd,student,1e4,NA,2,0,Village,Single,0,0,4,4,3,1,1,3,4,5,5,3,3,4,5,2,2,1,5,2,5,4,5,3,3,4,3,4,3,4,4,5,5,4,2,3,5,3,1,5,5,4,4,4,3,3,1,1,1,2.6,3.53,3.75,3,0.92,very high
United States,45,Female,0,ltuni,full-time,87500,NA,0,0,Small Town,Married,0,0,3,3,3,2,3,2,3,3,5,3,1,2,2,1,2,4,4,3,3,4,4,2,3,5,1,3,1,3,2,3,4,2,3,3,3,4,3,3,1,4,3,3,3,4,3,1,0,2.8,2.8,2.85,3.2,0.92,very high
United States,32.5,Female,1,deg,full-time,35e3,NA,0,9,Small Town,Married,1,0,5,5,5,4,4,1,2,5,4,4,5,5,3,5,5,2,4,3,4,5,5,1,4,4,5,2,5,3,5,4,3,5,4,2,4,5,5,5,5,4,3,3,3,4,1,1,1,4.6,3.8,4,2.8,0.92,very high
United States,25,Female,0,deg,full-time,35e3,NA,3,0,Small Town,Single,0,0,3,3,2,2,2,1,1,3,1,5,2,1,2,1,3,1,1,1,1,1,3,1,2,3,5,1,1,3,4,3,3,1,1,4,2,5,5,1,3,3,5,5,5,4,5,0,1,2.4,1.67,2.7,4.8,0.92,very high
United States,32.5,Female,0,deg,full-time,15e4,NA,9,0,Village,Married,0,0,3,3,2,1,1,1,1,3,1,1,2,2,3,1,5,1,1,4,1,3,5,1,2,3,3,1,5,3,5,4,3,5,1,2,2,4,4,4,4,2,5,4,4,5,5,1,0,2,2,3.15,4.6,0.92,very high
United States,28,Female,0,deg,full-time,45e3,NA,2,0,Village,Married,0,0,4,4,3,3,3,1,1,4,2,3,2,2,3,2,3,3,2,4,1,3,4,1,3,4,1,4,3,3,3,2,2,3,1,4,4,5,4,3,3,4,4,4,4,5,4,1,0,3.4,2.4,3.05,4.2,0.92,very high
United States,32.5,Female,1,ltuni,full-time,35e3,NA,3,3,Small Town,Married,4,0,3,3,3,2,2,3,3,4,4,3,2,4,3,2,3,2,4,5,4,3,4,1,3,5,2,3,3,3,4,4,4,3,3,3,4,4,4,4,5,3,3,3,4,3,4,1,1,2.6,3.27,3.45,3.4,0.92,very high
United States,45,Female,1,dip,full-time,25e3,NA,9,5,NA,Married,1,1,4,5,4,4,4,5,4,5,5,5,4,5,4,2,5,2,5,5,4,5,5,3,5,5,2,4,1,5,5,5,5,4,5,5,5,4,4,4,5,5,3,2,3,4,2,1,1,4.2,4.33,4.3,2.8,0.92,very high
United States,45,Female,1,deg,full-time,87500,NA,10,0,Small Town,Married,1,1,4,3,3,2,2,2,1,2,2,2,4,2,3,2,3,4,2,2,2,3,3,2,3,2,4,4,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,1,0,2.8,2.4,3.4,3.8,0.92,very high
United States,32.5,Male,0,deg,student,15e3,NA,0,6,Rural/Country,Married,0,0,4,3,3,2,2,1,2,4,4,4,4,4,3,2,4,3,3,2,3,2,4,2,3,4,2,3,3,3,4,4,4,4,2,3,4,4,2,4,4,4,3,3,3,3,2,1,1,2.8,3,3.35,2.8,0.92,very high
United States,28,Female,1,deg,part-time,1e4,NA,3,6,Large Town,Married,0,1,3,3,3,2,2,2,3,3,4,3,3,2,3,3,3,3,5,3,4,3,3,2,4,4,3,3,3,3,4,2,3,4,3,4,4,3,2,3,3,3,4,4,4,4,3,1,1,2.6,3.13,3.15,3.8,0.92,very high
United States,28,Female,0,deg,full-time,45e3,NA,2,0,Village,Single,0,0,4,5,4,4,3,1,2,2,2,4,2,4,4,5,5,4,3,4,3,5,4,2,4,1,3,2,5,4,4,4,4,4,2,4,4,3,4,4,4,4,1,2,2,2,2,1,1,4,3.33,3.5,1.8,0.92,very high
United States,28,Female,0,deg,full-time,15e3,NA,4,0,Medium-Sized,Single,0,0,4,2,2,2,2,5,3,5,5,5,5,5,4,4,5,4,5,5,4,5,5,2,3,5,1,4,5,3,5,4,4,5,5,5,5,4,5,4,4,1,2,1,4,5,4,1,1,2.4,4.6,3.95,3.2,0.92,very high
United States,55,Female,0,ma,unemployed,NA,NA,0,0,Large Town,Married,0,0,2,2,3,2,2,1,2,4,3,2,3,2,3,2,3,2,3,1,2,2,3,2,3,2,2,2,2,3,3,3,3,2,1,2,4,3,3,4,2,3,3,4,3,4,3,0,0,2.2,2.33,2.6,3.4,0.92,very high
United States,28,Female,0,deg,full-time,45e3,NA,4,6,Small Town,Married,0,0,3,5,4,2,2,1,2,5,5,5,5,3,5,5,5,3,5,4,5,5,5,3,3,5,3,3,4,4,5,2,5,5,2,3,4,4,3,5,4,5,3,3,2,3,1,1,1,3.2,4.2,3.85,2.4,0.92,very high
United States,45,Female,0,dip,unemployed,1e4,NA,0,0,Village,Married,0,0,3,4,4,3,3,1,1,4,3,4,4,3,4,3,3,3,2,3,2,4,4,3,4,2,2,4,4,4,1,2,3,4,3,3,4,4,3,2,1,4,3,2,2,2,4,1,1,3.4,2.93,3.05,2.6,0.92,very high
United States,55,Female,0,ma,full-time,67500,NA,NA,0,Village,Married,0,0,3,4,5,3,3,1,3,2,5,5,4,5,3,3,5,1,5,4,5,4,5,1,2,4,1,1,5,4,4,2,4,5,2,2,3,2,2,4,4,2,3,3,3,2,2,1,1,3.6,3.67,2.95,2.6,0.92,very high
United States,32.5,Female,1,phd,part-time,35e3,NA,1,6,Small Town,Married,1,1,2,2,3,2,2,1,2,1,3,2,5,2,3,2,3,2,3,2,3,1,2,1,2,2,1,1,2,3,3,3,5,3,2,1,3,3,2,3,3,2,4,4,5,5,5,1,0,2.2,2.33,2.35,4.6,0.92,very high
United States,80,Male,1,ma,retired,55e3,NA,0,0,Large Town,Married,1,0,3,2,3,1,1,1,2,4,3,3,4,2,2,2,3,1,3,2,1,2,3,1,1,1,1,2,1,2,2,1,3,2,1,3,3,2,2,3,4,3,2,4,4,4,3,1,0,2,2.33,2.05,3.4,0.92,very high
United States,55,Female,1,deg,part-time,15e3,NA,0,0,Small Town,Divorced,0,1,4,4,4,4,4,4,1,5,2,3,5,3,4,3,3,2,2,5,1,4,4,2,2,5,4,5,5,3,4,1,4,4,5,1,3,5,5,5,5,4,1,1,2,2,2,1,0,4,3.13,3.8,1.6,0.92,very high
United States,32.5,Female,1,ltuni,full-time,45e3,NA,0,0,Large Town,Married,0,0,5,5,5,4,4,4,3,3,4,3,4,4,3,4,4,3,4,4,4,5,5,4,5,2,4,4,4,4,3,5,4,5,4,4,3,5,5,4,3,4,2,3,3,2,2,1,1,4.6,3.73,4.05,2.4,0.92,very high
United States,45,Female,1,deg,unemployed,1e4,NA,0,0,Village,Married,0,1,5,4,4,4,4,1,2,2,4,4,3,4,5,3,3,4,4,4,3,4,5,4,2,5,3,4,5,4,5,4,5,4,3,4,4,4,3,4,4,3,2,3,2,2,2,1,1,4.2,3.33,3.95,2.2,0.92,very high
United States,45,Female,1,deg,full-time,15e4,NA,14,0,Small Town,Married,0,2,3,4,4,3,3,1,1,4,5,3,4,3,4,2,4,5,2,5,2,4,4,4,4,4,4,4,4,4,4,2,3,5,4,5,2,5,5,5,5,4,2,3,3,3,2,1,0,3.4,3.27,4.05,2.6,0.92,very high
United States,19,Female,0,ltuni,student,1e4,NA,3,0,Large Town,Single,0,0,1,1,3,1,1,1,1,1,2,1,1,1,2,1,4,5,2,5,1,1,4,2,2,5,4,1,1,4,3,1,4,1,1,4,5,1,1,2,3,3,4,4,5,5,4,0,0,1.4,1.93,2.6,4.4,0.92,very high
United States,55,Male,1,dip,full-time,67500,NA,9,0,Large Town,Married,0,2,3,4,4,3,3,1,3,5,4,4,4,5,3,2,4,4,4,2,4,4,4,3,4,2,4,4,4,4,4,2,4,4,3,4,3,3,3,4,3,4,3,5,4,4,4,1,1,3.4,3.53,3.5,4,0.92,very high
United States,28,Female,0,ltuni,full-time,45e3,NA,10,0,Medium-Sized,Single,0,0,3,3,2,2,2,3,3,3,4,3,1,3,2,3,4,3,5,3,3,3,4,1,2,5,1,3,3,4,1,1,5,3,3,4,5,3,3,3,4,3,2,2,2,2,1,1,1,2.4,3.07,3.05,1.8,0.92,very high
United States,55,Female,1,deg,full-time,45e3,NA,NA,0,Village,Married,0,1,3,3,3,2,2,2,2,4,3,2,3,3,3,2,2,4,4,4,2,3,3,1,1,2,1,2,3,3,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,2,1,0,2.6,2.87,2.65,2.8,0.92,very high
United States,55,Female,0,ma,retired,87500,NA,0,0,Small Town,Married,0,0,2,4,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,1,1,4,1,2,3,1,4,4,3,5,1,2,4,1,2,3,1,1,5,4,5,3,3,3,4,3,1,1,2,1.4,2.8,3.2,0.92,very high
United States,25,Female,0,phd,student,1e4,NA,1,0,Village,Single,0,0,4,4,3,3,5,2,4,5,3,2,2,1,3,3,2,1,2,2,5,3,2,1,2,3,5,2,2,3,5,3,5,4,1,1,3,4,2,3,4,3,3,4,3,5,2,1,0,3.8,2.67,2.9,3.4,0.92,very high
